대여소명,자치구,lat,long,LCD거치대수,text
신일해피트리아파트 앞,양천구,37.517059,126.848488,20.0,신일해피트리아파트 앞 (양천구)<br>거치대 수: 20.0
강월초교입구 사거리,양천구,37.516998,126.838318,14.0,강월초교입구 사거리 (양천구)<br>거치대 수: 14.0
양서중학교 옆,양천구,37.533047,126.829956,20.0,양서중학교 옆 (양천구)<br>거치대 수: 20.0
한국SGI 양천문화회관 앞,양천구,37.532547,126.830803,10.0,한국SGI 양천문화회관 앞 (양천구)<br>거치대 수: 10.0
신정6동 주민센터 인근,양천구,37.517281,126.864334,15.0,신정6동 주민센터 인근 (양천구)<br>거치대 수: 15.0
홍익병원앞 교차로,양천구,37.530369,126.864258,10.0,홍익병원앞 교차로 (양천구)<br>거치대 수: 10.0
서울강월초등학교 앞,양천구,37.516197,126.8349,10.0,서울강월초등학교 앞 (양천구)<br>거치대 수: 10.0
LG전자베스트샵 신정점,양천구,37.521435,126.857384,10.0,LG전자베스트샵 신정점 (양천구)<br>거치대 수: 10.0
SBS방송국,양천구,37.529163,126.872749,15.0,SBS방송국 (양천구)<br>거치대 수: 15.0
계남공원 입구 주출입구 좌측,양천구,37.510681,126.857399,15.0,계남공원 입구 주출입구 좌측 (양천구)<br>거치대 수: 15.0
양강중학교앞 교차로,양천구,37.524334,126.850548,15.0,양강중학교앞 교차로 (양천구)<br>거치대 수: 15.0
목동3단지 시내버스정류장,양천구,37.534389,126.869598,15.0,목동3단지 시내버스정류장 (양천구)<br>거치대 수: 15.0
서부식자재마트 건너편,양천구,37.51038,126.866798,10.0,서부식자재마트 건너편 (양천구)<br>거치대 수: 10.0
서울시 도로환경관리센터,양천구,37.5299,126.876541,10.0,서울시 도로환경관리센터 (양천구)<br>거치대 수: 10.0
신월동 이마트,양천구,37.539551,126.8283,10.0,신월동 이마트 (양천구)<br>거치대 수: 10.0
신정이펜하우스314동,양천구,37.514099,126.831001,10.0,신정이펜하우스314동 (양천구)<br>거치대 수: 10.0
신트리공원 입구,양천구,37.51395,126.856056,10.0,신트리공원 입구 (양천구)<br>거치대 수: 10.0
영도초등학교,양천구,37.53643,126.871521,10.0,영도초등학교 (양천구)<br>거치대 수: 10.0
오솔길공원,양천구,37.52219,126.8367,10.0,오솔길공원 (양천구)<br>거치대 수: 10.0
장수공원,양천구,37.52256,126.84948,10.0,장수공원 (양천구)<br>거치대 수: 10.0
신월사거리,양천구,37.536201,126.827797,15.0,신월사거리 (양천구)<br>거치대 수: 15.0
으뜸공원,양천구,37.536369,126.831711,10.0,으뜸공원 (양천구)<br>거치대 수: 10.0
화곡로 입구 교차로,양천구,37.53952,126.825401,10.0,화곡로 입구 교차로 (양천구)<br>거치대 수: 10.0
등촌역 5번 출구 뒤,양천구,37.550732,126.864578,10.0,등촌역 5번 출구 뒤 (양천구)<br>거치대 수: 10.0
현대6차아파트 101동 옆,양천구,37.5089,126.842682,10.0,현대6차아파트 101동 옆 (양천구)<br>거치대 수: 10.0
신목동역 2번 출구,양천구,37.543842,126.882545,10.0,신목동역 2번 출구 (양천구)<br>거치대 수: 10.0
강서초등학교,양천구,37.522282,126.839699,10.0,강서초등학교 (양천구)<br>거치대 수: 10.0
목동2단지 상가,양천구,37.536503,126.877747,10.0,목동2단지 상가 (양천구)<br>거치대 수: 10.0
목동3단지 상가,양천구,37.53458,126.875648,10.0,목동3단지 상가 (양천구)<br>거치대 수: 10.0
목동운동장,양천구,37.530251,126.879303,15.0,목동운동장 (양천구)<br>거치대 수: 15.0
이대 목동병원 앞,양천구,37.537228,126.886612,10.0,이대 목동병원 앞 (양천구)<br>거치대 수: 10.0
연의근린공원 건너편,양천구,37.512157,126.835625,10.0,연의근린공원 건너편 (양천구)<br>거치대 수: 10.0
성원2차 아파트,양천구,37.542183,126.863304,10.0,성원2차 아파트 (양천구)<br>거치대 수: 10.0
목동1단지아파트 118동 앞 (월촌초등학교 정류소 옆,양천구,37.541142,126.876678,10.0,목동1단지아파트 118동 앞 (월촌초등학교 정류소 옆 (양천구)<br>거치대 수: 10.0
목동1단지아파트 상가 앞 (월촌중학교 버스정류소 옆),양천구,37.537868,126.881409,10.0,목동1단지아파트 상가 앞 (월촌중학교 버스정류소 옆) (양천구)<br>거치대 수: 10.0
목동주차장,양천구,37.52668,126.876167,10.0,목동주차장 (양천구)<br>거치대 수: 10.0
