,col_1,행정동,세대수,등록인구,등록인구(남),등록인구(여),여성비율,한국인,한국인(남),한국인(여),외국인,외국인(남),외국인(여),외국인비율,세대당인구,65세이상고령자,평균연령,인구밀도 (명/㎢),면적 (㎢),대학교 수,가로등 수,보안등 수,전체 CCTV수(어린이보호 제외),상가 수,일반 유흥 주점,생활방범 CCTV 수,범죄발생수(유동인구기준),범죄발생수(면적기준),강력범죄,절도범죄,폭력범죄,치안기관,유흥업소 수,초등학교 수,"중,고등학교 수",어린이용 CCTV 수,안전비상벨 수,요리 주점,입시·교과학원,기타 CCTV 수,시설물 CCTV 수,쓰레기단속 CCTV 수
40,서구,비산1동,4862,9416,4773,4643,0.493096856,9320,4734,4586,96,39,57,0.010195412,1.92,2575,51.5,14713,0.64,0,28,134,115,212,1,95,118.1542718,75.08545035,79,866,1087,0.0,0.10989010989010992,4.0,0.0,9.473684210526315,1.1111111111111112,0.7894736842105262,0.036496350364963515,2.2093023255813957,0.0,0.0
41,서구,비산2·3동,4968,8929,4359,4570,0.511815433,8873,4341,4532,56,18,38,0.006271699,1.79,2946,53.9,18222,0.49,0,0,0,0,0,0,0,112.0432766,57.48729792,79,866,1087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
42,서구,비산4동,4709,9501,4603,4898,0.515524682,9464,4595,4869,37,8,29,0.003894327,2.01,2578,51.0,24362,0.39,0,60,108,127,310,1,113,119.2208726,45.7551963,79,866,1087,0.0,0.21978021978021983,2.0,2.857142857142857,6.315789473684211,1.1111111111111112,1.4912280701754383,0.036496350364963515,0.8139534883720931,0.9090909090909092,0.0
43,서구,비산5동,3346,6028,3064,2964,0.491705375,5865,2979,2886,163,85,78,0.027040478,1.75,1861,53.3,21529,0.28,0,60,43,116,337,7,107,75.64081885,32.84988453,79,866,1087,0.0,0.10989010989010992,2.0,0.0,3.6842105263157894,0.0,4.12280701754386,0.18248175182481752,0.930232558139535,0.0,0.0
44,서구,비산6동,3743,7403,3637,3766,0.508712684,7351,3618,3733,52,19,33,0.007024179,1.96,2004,51.6,27419,0.27,0,65,64,75,228,3,69,92.89465526,31.67667436,79,866,1087,0.0,0.4395604395604396,0.0,0.0,4.7368421052631575,0.0,0.7894736842105262,0.0,0.5813953488372094,0.0,0.0
45,서구,비산7동,5428,10397,5638,4759,0.457728191,9565,5054,4511,832,584,248,0.080023084,1.76,2559,51.2,3795,2.74,0,786,234,342,794,7,334,130.4640998,321.4595843,79,866,1087,2.5,0.8791208791208792,2.0,0.0,4.7368421052631575,2.2222222222222223,4.298245614035087,0.0,0.11627906976744196,0.9090909090909092,0.0
46,서구,평리1동,3939,7602,3795,3807,0.500789266,7541,3776,3765,61,19,42,0.008024204,1.91,2026,50.8,19492,0.39,0,74,151,102,295,4,88,95.39175595,45.7551963,79,866,1087,0.0,0.5494505494505495,2.0,0.0,6.666666666666666,0.0,1.9298245614035086,0.07299270072992703,1.5116279069767442,0.0,0.0
47,서구,평리2동,3544,7723,3760,3963,0.513142561,7690,3747,3943,33,13,20,0.004272951,2.17,1749,47.3,26631,0.29,0,41,8,70,206,0,62,96.91009356,34.02309469,79,866,1087,0.0,0.10989010989010992,2.0,0.0,8.596491228070175,2.2222222222222223,0.6140350877192982,0.14598540145985403,0.8139534883720931,0.0,0.0
48,서구,평리3동,5013,9662,4850,4812,0.498033533,9588,4825,4763,74,25,49,0.00765887,1.91,2546,51.0,12548,0.77,0,149,120,195,638,8,174,121.24114,90.33718245,79,866,1087,5.0,0.8791208791208792,2.0,5.714285714285714,8.24561403508772,1.1111111111111112,1.5789473684210524,0.25547445255474455,2.3255813953488373,0.0,0.0
49,서구,평리4동,8420,17519,8681,8838,0.504480849,17442,8661,8781,77,20,57,0.004395228,2.07,3614,46.8,23999,0.73,0,162,2,176,920,30,159,219.8326983,85.6443418,79,866,1087,2.5,4.065934065934067,0.0,0.0,4.2105263157894735,0.0,3.421052631578947,0.29197080291970806,1.86046511627907,0.0,0.0
50,서구,평리5동,867,1660,897,763,0.459638554,1641,886,755,19,11,8,0.011445783,1.89,442,50.2,3952,0.42,1,169,12,98,175,3,76,20.83008615,49.27482679,79,866,1087,0.0,0.10989010989010992,2.0,0.0,3.1578947368421053,1.1111111111111112,0.5263157894736841,0.10948905109489052,2.441860465116279,0.0,0.0
51,서구,평리6동,1755,3432,1869,1563,0.45541958,3352,1811,1541,80,58,22,0.023310023,1.91,893,51.8,4701,0.73,0,256,72,62,162,0,53,43.06557569,85.6443418,79,866,1087,0.0,0.0,2.0,0.0,2.6315789473684212,0.0,0.08771929824561409,0.036496350364963515,0.930232558139535,0.0,0.0
52,서구,상중이동,8779,19751,9903,9848,0.498607665,19469,9718,9751,282,185,97,0.014277758,2.22,4102,46.9,2944,6.71,0,1356,660,491,1154,4,402,247.8403804,787.2240185,79,866,1087,2.5,0.3296703296703297,4.0,4.285714285714286,9.298245614035087,10.0,1.0526315789473681,0.3284671532846716,10.0,0.30303030303030304,0.0
