col_1,행정동,유흥업소 수,초등학교 수,"중,고등학교 수",요리 주점,입시·교과학원,등록인구_scaled,여성비율_scaled,외국인비율_scaled,고령자 비율_scaled,총점,치안기관,어린이용 CCTV 수,안전비상벨 수,기타 CCTV 수,시설물 CCTV 수,쓰레기단속 CCTV 수,가로등 수_scaled,보안등 수_scaled,생활방범 CCTV 수_scaled,총점,순위험도
동구,공산동,0,6,2.857142857,0.789473684,0.255474453,0.363899899,6.192871344,0.180015028,6.604850726,2.045136266,5,0,0.833333333,0,1.060606061,7.741935484,5.768115942,1.034732272,1.766169154,2.653661629,-0.608525363
서구,소계,0,0,0,0,0,2.936908014,5.219664552,0.898536521,6.751385261,2.11547617,0,0,0,0,0,0,0,0,0,0,2.11547617
서구,내당1동,1.978021978,2,0,1.754385965,0.109489051,0.155425698,5.666736299,0.171366505,5.454414188,1.87241708,2.5,3.859649123,0,0.11627907,0,0,0.268115942,0.441389291,2.388059701,1.568836769,0.303580311
서구,내당2·3동,0,0,0,0,0,0.140418194,6.954661328,0.39910187,8.402409122,1.478452221,0,0,0,0,0,0,0,0,0,0,1.478452221
서구,내당4동,0.989010989,2,4.285714286,2.98245614,0.437956204,0.263758253,7.262741096,0.268344699,6.401110576,2.232409298,2.5,5.789473684,1.111111111,3.837209302,1.515151515,0,0.623188406,1.881331404,3.184079602,2.513332271,-0.280922972
서구,비산1동,0.10989011,4,0,0.789473684,0.03649635,0.142122343,4.384362225,0.677175481,7.470986785,1.572977929,0,9.473684211,1.111111111,2.209302326,0,0,0.101449275,0.969609262,2.36318408,2.033632293,-0.460654364
서구,비산2·3동,0,0,0,0,0,0.133198467,6.286147811,0.369411884,9.413390856,1.465950814,0,0,0,0,0,0,0,0,0,0,1.465950814
서구,비산4동,0.21978022,2,2.857142857,1.49122807,0.03649635,0.143679899,6.663003182,0.182938368,7.39768658,1.829796403,0,6.315789474,1.111111111,0.813953488,0.909090909,0,0.217391304,0.781476122,2.810945274,1.857165172,-0.027368769
서구,비산5동,0.10989011,2,0,4.122807018,0.182481752,0.08004002,4.242989378,1.998449006,8.683762497,1.803937863,0,3.684210526,0,0.930232558,0,0,0.217391304,0.311143271,2.661691542,1.407467156,0.396470707
서구,비산6동,0.43956044,0,0,0.789473684,0,0.105235768,5.970912132,0.428434027,7.375712228,1.44401761,0,4.736842105,0,0.581395349,0,0,0.235507246,0.463096961,1.71641791,1.186387293,0.257630317
서구,비산7동,0.879120879,2,0,4.298245614,0,0.160098364,0.790947121,6.154236498,6.530426093,1.515210392,2.5,4.736842105,2.222222222,0.11627907,0.909090909,0,2.847826087,1.693198263,8.308457711,4.465698842,-2.95048845
서구,평리1동,0.549450549,2,0,1.929824561,0.072992701,0.10888228,5.165902107,0.506872815,7.231499305,1.658332983,0,6.666666667,0,1.511627907,0,0,0.268115942,1.092619392,2.189054726,1.650823746,0.007509237
서구,평리2동,0.10989011,2,0,0.614035088,0.145985401,0.111099506,6.420982467,0.212636433,5.854046127,1.490088778,0,8.596491228,2.222222222,0.813953488,0,0,0.148550725,0.05788712,1.542288557,1.575647211,-0.085558432
서구,평리3동,0.879120879,2,5.714285714,1.578947368,0.255474453,0.146630092,4.885922849,0.478217175,7.128220865,1.837516495,5,8.245614035,1.111111111,2.325581395,0,0,0.539855072,0.868306802,4.328358209,3.172070181,-1.334553686
서구,평리4동,4.065934066,0,0,3.421052632,0.291970803,0.290603177,5.540962633,0.222227453,5.159991724,2.293415766,2.5,4.210526316,0,1.860465116,0,0,0.586956522,0.01447178,3.955223881,2.236898947,0.05651682
서구,평리5동,0.10989011,2,0,0.526315789,0.109489051,0,0.985037773,0.775250615,7.223114237,0.897221814,0,3.157894737,1.111111111,2.441860465,0,0,0.612318841,0.08683068,1.890547264,1.24961145,-0.352389636
서구,평리6동,0,2,0,0.087719298,0.03649635,0.032470448,0.556394937,1.705843953,7.014412906,0.792799948,0,2.631578947,0,0.930232558,0,0,0.927536232,0.520984081,1.31840796,0.980864913,-0.188064965
서구,상중이동,0.32967033,4,4.285714286,1.052631579,0.328467153,0.331502748,4.94425399,0.997381747,5.207992385,1.760151182,2.5,9.298245614,10,10,0.303030303,0,4.913043478,4.77568741,10,6.953862341,-5.193711158
서구,원대동,1.868131868,2,1.428571429,1.140350877,0.145985401,0.105052526,4.501654319,0.57771382,7.974589874,1.860590111,2.5,10,3.333333333,0.697674419,0,0,0.449275362,0.846599132,3.333333333,2.776769788,-0.916179677
남구,소계,0,0,0,0,0,2.59862532,7.207991516,0.946272625,6.59682438,2.22919475,0,0,0,0,0,0,0,0,0,0,2.22919475
남구,이천동,0,4,1.428571429,1.052631579,0.620437956,0.183644936,7.894857846,0.77720024,7.398298381,2.069980551,0,4.035087719,2.222222222,0,0,0.322580645,1.612318841,1.193921852,1.467661692,1.450814278,0.619166273
남구,봉덕1동,0.659340659,0,0,0.964912281,0,0.13426127,6.93409559,1.230290257,7.242543446,1.637683509,2.5,0.526315789,2.777777778,0,0,0,0.905797101,0.1447178,1.218905473,1.045652642,0.592030867
남구,봉덕2동,0,0,0,0.701754386,0.03649635,0.193576642,7.820171731,0.865640037,6.418769741,1.542133678,0,0.526315789,1.111111111,0,0,0,1.905797101,1.302460203,1.368159204,1.060332354,0.481801323
남구,봉덕3동,1.868131868,4,5.714285714,1.578947368,0.620437956,0.265847209,7.536452417,0.964184851,6.780619323,2.570252211,2.5,4.736842105,3.333333333,0,0,0,1.387681159,1.056439942,1.343283582,1.715926734,0.854325478
남구,대명1동,0.549450549,0,0,0.789473684,0.145985401,0.1710379,6.305564973,1.240171571,6.139496731,1.462605926,0,3.157894737,2.222222222,0,0,0,0,0.564399421,0.597014925,0.692295751,0.770310175
남구,대명2동,0.10989011,2,5.714285714,0.964912281,0.328467153,0.191579306,7.790263676,0.732094751,5.258784078,1.862477222,0,3.50877193,2.222222222,0,0,0,0.137681159,0.564399421,1.616915423,1.109131253,0.753345969
남구,대명3동,0.659340659,0,0,2.368421053,0.145985401,0.164202981,5.836632408,0.96308501,7.446591166,1.669837783,2.5,2.280701754,4.444444444,0,0,0,0.985507246,1.505065123,2.537313433,1.916249916,-0.246412132
남구,대명4동,1.098901099,2,2.857142857,0.789473684,0.072992701,0.164312926,6.830494548,0.372000064,7.308575582,1.961197688,2.5,2.98245614,5,0,0,0,0.514492754,0.274963821,1.592039801,1.475564622,0.485633065
남구,대명5동,0.989010989,2,1.428571429,1.754385965,0.072992701,0.087278071,7.577044199,5.507150795,5.41169669,2.02616935,2.5,2.105263158,1.111111111,0,0,0,0.489130435,1.577424023,0.746268657,1.023061782,1.003107569
남구,대명6동,0.10989011,2,0,0.526315789,0.328467153,0.176590127,7.356555934,0.307955375,5.195126461,1.577108931,2.5,2.105263158,0.555555556,0,0,0,0.025362319,0.441389291,1.915422886,1.20740625,0.36970268
남구,대명9동,0.879120879,4,1.428571429,1.929824561,0.218978102,0.247468056,6.408876763,0.503319235,5.898590257,2.054405171,2.5,5.087719298,2.777777778,0,0,0,3.246376812,2.431259045,2.338308458,2.54354251,-0.489137339
남구,대명10동,2.307692308,0,0,1.578947368,0.03649635,0.131750857,7.921296911,0.329488559,7.656724254,2.158439479,0,1.052631579,1.111111111,0,0,0,0.105072464,0.15195369,0.721393035,0.447414688,1.71102479
남구,대명11동,0.32967033,2,0,0.701754386,0.072992701,0.122057366,7.790213283,0.405356423,8.200450575,1.876763053,0,2.807017544,1.111111111,0,0,0,0.173913043,0.412445731,0.671641791,0.643880858,1.232882195
북구,소계,0,0,0,0,0,7.9620946,5.424280843,0.823563386,3.62276533,3.628090706,0,0,0,0,0,0,0,0,0,0,3.628090706
북구,고성동,0.10989011,0,0,2.456140351,0.218978102,0.056035344,6.636183325,0.193355014,6.142278166,1.523381988,0,1.052631579,0,0,0.606060606,0.967741935,0.97826087,0.22431259,0.621890547,0.584395167,0.938986821
북구,칠성동,1.428571429,2,4.285714286,1.49122807,0.364963504,0.393621719,7.498252373,0.338454123,3.864085807,2.065234185,5,2.456140351,0,0,2.878787879,6.129032258,2.923913043,0.23878437,2.189054726,2.422278779,-0.357044595
북구,침산1동,0,0,1.428571429,0,0,0.045004187,0.815403078,2.850304085,7.014617482,0.704036241,2.5,1.228070175,0,0,0.757575758,1.290322581,0.869565217,1.309696093,0.895522388,1.055647135,-0.351610894
북구,침산2동,0,2,0,1.228070175,1.277372263,0.307204884,7.00189239,0.137162008,2.688245046,1.476725326,0,2.807017544,0,0,0.606060606,0.64516129,1.434782609,0.0723589,0.646766169,0.822615549,0.654109777
북구,침산3동,0.10989011,4,2.857142857,0.350877193,1.131386861,0.325382471,7.045272958,0.180449411,4.174007263,1.788573925,2.5,1.754385965,0,0,9.545454545,1.612903226,1.775362319,2.141823444,0.721393035,1.658008031,0.130565893
북구,노원동,2.087912088,0,0,1.578947368,0.03649635,0.179576968,2.133496153,2.355152634,6.38743918,1.387871548,0,1.228070175,0.555555556,0.23255814,1.363636364,1.612903226,2.97826087,1.526772793,1.84079602,1.611991547,-0.22412
북구,산격1동,0.10989011,2,0,0.526315789,0.03649635,0.131842478,5.550394865,0.506391605,9.671400559,1.653704189,2.5,1.578947368,0,0,2.272727273,1.290322581,0.77173913,2.257597685,1.641791045,1.489716409,0.16398778
북구,산격2동,1.428571429,2,1.428571429,0.701754386,0.218978102,0.163928118,6.263976507,0.461725362,5.160267232,1.763182165,0,2.456140351,0.555555556,0,0.606060606,1.290322581,2.579710145,4.725036179,0.870646766,1.590824952,0.172357212
북구,산격3동,0.21978022,2,0,4.385964912,0.328467153,0.163726552,3.124697928,8.909374828,3.823459649,1.548867001,0,2.105263158,0,0,6.515151515,3.548387097,0.416666667,3.270622287,1.094527363,1.398214666,0.150652335
북구,산격4동,0,0,0,0.263157895,0.145985401,0.122625415,2.774437473,1.173490542,6.923080194,0.913405914,0,2.456140351,0.277777778,0,0.909090909,0.967741935,0.648550725,0.781476122,1.243781095,0.964786364,-0.05138045
북구,복현1동,6.153846154,2,0,2.719298246,0.109489051,0.114727694,0,4.35335974,2.719189124,2.002401576,2.5,2.105263158,0,0,4.696969697,2.258064516,0.449275362,0.578871201,0.995024876,1.225743076,0.7766585
