col_1,행정동,세대수,등록인구,등록인구(남),등록인구(여),한국인,한국인(남),한국인(여),외국인,외국인(남),외국인(여),세대당인구,65세이상고령자,평균연령,인구밀도 (명/㎢),면적 (㎢),치안기관,유흥업소 수,초등학교 수,"중,고등학교 수",대학교 수,가로등 수,보안등 수,어린이용 CCTV 수,전체 CCTV수(어린이보호 제외),안전비상벨 수,상가 수,요리 주점,일반 유흥 주점,입시·교과학원,생활방범 CCTV 수,기타 CCTV 수,시설물 CCTV 수,쓰레기단속 CCTV 수,범죄발생수(유동인구기준),범죄발생수(면적기준),강력범죄,절도범죄,폭력범죄
남구,대명1동,5746,10994,5365,5629,10803,5262,5541,191,103,88,1.88,2581,48.1,24431,0.45,0,5,0,0,0,0,78,18,34,8,344,9,4,4,24,,0,0,115.0173132,38.75215146,73,656,772
남구,대명2동,7017,12115,5735,6380,11983,5670,6313,132,65,67,1.71,2534,45.3,14596,0.83,0,1,1,4,1,38,78,20,75,8,772,11,1,9,65,,0,0,126.74502,71.47619048,73,656,772
남구,대명3동,6255,10621,5232,5389,10474,5171,5303,147,61,86,1.67,2897,50.2,11299,0.94,1,6,0,0,1,272,208,13,121,16,952,27,4,4,102,,0,0,111.1150522,80.94893861,73,656,772
남구,대명4동,5813,10627,5131,5496,10560,5112,5448,67,19,48,1.82,2856,49.9,14968,0.71,1,10,1,2,0,142,38,17,72,18,620,9,12,2,64,,0,0,111.1778232,61.14228342,73,656,772
남구,대명5동,3515,6423,3054,3369,5962,2808,3154,461,246,215,1.7,1372,46.7,6982,0.92,1,9,1,1,1,135,218,12,44,4,593,20,11,2,30,,0,0,67.19630734,79.22662077,73,656,772
남구,대명6동,5964,11297,5396,5901,11235,5377,5858,62,19,43,1.88,2342,46.1,7531,1.5,1,1,1,0,0,7,61,12,93,2,565,6,1,9,77,,0,0,118.1872465,129.1738382,73,656,772
남구,대명9동,8333,15165,7385,7780,15044,7344,7700,121,41,80,1.81,3454,47.8,4487,3.38,1,8,2,1,0,896,336,29,114,10,780,22,7,6,94,,0,0,158.6535888,291.0717154,73,656,772
남구,대명10동,4972,8850,4178,4672,8799,4164,4635,51,14,37,1.77,2468,50.2,17700,0.5,0,21,0,0,0,29,21,6,29,4,647,18,18,1,29,,0,0,92.58715865,43.05794607,73,656,772
남구,대명11동,4653,8321,3939,4382,8265,3921,4344,56,18,38,1.78,2452,51.5,9564,0.87,0,3,1,0,0,48,57,16,48,4,606,8,2,2,27,,0,0,87.05285278,74.92082616,73,656,772
북구,소계,192697,436173,216633,219540,430912,214151,216761,5261,2482,2779,2.24,70487,43.6,4641,93.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3475,3475,153,1638,1684
북구,고성동,2195,4718,2287,2431,4699,2279,2420,19,8,11,2.14,1108,46.7,8902,0.53,0,1,0,0,0,270,31,6,32,0,463,28,3,6,25,,4,3,37.58841102,19.5951697,153,1638,1684
북구,칠성동,10318,23141,11021,12120,23005,10975,12030,136,46,90,2.23,3902,42.7,17399,1.33,2,13,1,3,0,807,33,14,126,0,1339,17,6,10,88,,19,19,184.3648621,49.17278434,153,1638,1684
북구,침산1동,2008,4116,2231,1885,3960,2104,1856,156,127,29,1.97,1071,51.2,3319,1.24,1,0,0,1,0,240,181,7,45,0,196,0,0,0,36,,5,4,32.79226362,45.84530269,153,1638,1684
북구,침산2동,6900,18425,8865,9560,18364,8843,9521,61,22,39,2.66,2477,40.5,18611,0.99,0,0,1,0,0,396,10,16,32,0,567,14,1,35,26,,4,2,146.7923851,36.60229812,153,1638,1684
북구,침산3동,7478,19417,9334,10083,19342,9302,10040,75,32,43,2.59,3449,43.9,18147,1.07,1,1,2,2,0,490,296,10,97,0,494,4,0,31,29,,63,5,154.6956712,39.56005958,153,1638,1684
북구,노원동,5646,11460,6063,5397,11098,5790,5308,362,273,89,1.97,2773,49.7,3709,3.09,0,19,0,0,0,822,211,7,91,2,1095,18,10,1,74,3,9,5,91.30207509,114.2435365,153,1638,1684
북구,산격1동,5136,8855,4387,4468,8784,4359,4425,71,28,43,1.71,2988,54.5,9731,0.91,1,1,1,0,0,213,312,9,85,0,245,6,0,1,66,,15,4,70.54798211,33.64453665,153,1638,1684
북구,산격2동,4703,10606,5180,5426,10527,5141,5386,79,39,40,2.24,2188,47.1,4631,2.29,0,13,1,1,0,712,653,14,43,2,1257,8,10,6,35,,4,4,84.49823808,84.66592191,153,1638,1684
북구,산격3동,6375,10595,5502,5093,9375,4936,4439,1220,566,654,1.47,1774,43.1,13244,0.8,0,2,1,0,1,115,452,12,98,0,952,50,1,9,44,,43,11,84.41060084,29.57761464,153,1638,1684
북구,산격4동,4506,8352,4366,3986,8214,4306,3908,138,60,78,1.82,2151,49.5,11286,0.74,0,0,0,0,0,179,108,14,59,1,361,3,0,4,50,,6,3,66.54056991,27.35929354,153,1638,1684
북구,복현1동,5106,7921,4357,3564,7469,4166,3303,452,191,261,1.46,1072,41.5,20310,0.39,1,56,1,0,0,124,80,12,78,0,482,31,58,3,40,,31,7,63.10678332,14.41908714,153,1638,1684
북구,복현2동,12715,31481,15578,15903,31038,15377,15661,443,201,242,2.44,4444,42.1,16925,1.86,0,1,2,6,2,233,166,27,53,1,590,8,1,21,44,,4,5,250.8098278,68.76795404,153,1638,1684
북구,대현동,8911,17602,8915,8687,17052,8602,8450,550,313,237,1.91,3929,46.5,14428,1.22,0,15,1,0,0,307,55,12,51,0,756,27,9,7,44,,2,5,140.2355258,45.10586233,153,1638,1684
북구,검단동,3164,6432,3239,3193,6261,3111,3150,171,128,43,1.98,1734,51,1688,3.81,0,0,0,2,0,152,151,5,214,0,181,4,0,2,192,,18,4,51.24388717,140.8633897,153,1638,1684
북구,무태조야동,15251,36020,18322,17698,35818,18247,17571,202,75,127,2.35,5128,42.2,1549,23.25,1,1,4,2,0,1661,803,55,138,2,1214,25,2,43,125,,10,3,286.9721418,859.5994255,153,1638,1684
북구,관문동,14684,36007,17863,18144,35862,17821,18041,145,42,103,2.44,4888,41.3,2461,14.63,1,4,5,2,0,1387,646,27,94,2,800,13,5,29,81,2,7,4,286.8685705,540.9006277,153,1638,1684
북구,태전1동,10750,22265,11132,11133,21984,10997,10987,281,135,146,2.05,3854,44.6,8246,2.7,0,1,2,2,2,570,524,24,61,2,799,33,0,2,47,,5,9,177.3857506,99.82444941,153,1638,1684
